Time [µs]	v1J2, First, 10.12.	v1J2, First, 10.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
16.54	0	0
16.56	7	3.11515929594392E-4
16.58	12	5.340273078761E-4
16.6	3	1.33506826969025E-4
16.62	9	4.00520480907075E-4
16.64	14	6.23031859188783E-4
16.66	11	4.89525032219758E-4
16.68	4	1.78009102625367E-4
16.7	1	4.45022756563417E-5
16.72	22	9.79050064439517E-4
16.74	18	8.0104096181415E-4
16.76	7	3.11515929594392E-4
16.78	-3	-1.33506826969025E-4
16.8	10	4.45022756563417E-4
16.82	22	9.79050064439517E-4
16.84	6	2.6701365393805E-4
16.86	7	3.11515929594392E-4
16.88	15	6.67534134845125E-4
16.9	4	1.78009102625367E-4
16.92	0	0
16.94	3	1.33506826969025E-4
16.96	7	3.11515929594392E-4
16.98	9	4.00520480907075E-4
17	15	6.67534134845125E-4
17.02	1	4.45022756563417E-5
17.04	6	2.6701365393805E-4
17.06	3	1.33506826969025E-4
17.08	4	1.78009102625367E-4
17.1	3	1.33506826969025E-4
17.12	3	1.33506826969025E-4
17.14	7	3.11515929594392E-4
17.16	16	7.12036410501467E-4
17.18	5	2.22511378281708E-4
17.2	4	1.78009102625367E-4
17.22	6	2.6701365393805E-4
17.24	3	1.33506826969025E-4
17.26	1	4.45022756563417E-5
17.28	11	4.89525032219758E-4
17.3	9	4.00520480907075E-4
17.32	8	3.56018205250733E-4
