Time [µs]	D2 v2J2	D2 v2J2	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
14.62	11	2.96386326466197E-4
14.64	6	1.61665268981562E-4
14.66	3	8.08326344907809E-5
14.68	8	2.15553691975416E-4
14.7	14	3.77218960956977E-4
14.72	14	3.77218960956977E-4
14.74	16	4.31107383950831E-4
14.76	-1	-2.6944211496927E-5
14.78	13	3.5027474946005E-4
14.8	19	5.11940018441612E-4
14.82	16	4.31107383950831E-4
14.84	18	4.84995806944685E-4
14.86	14	3.77218960956977E-4
14.88	16	4.31107383950831E-4
14.9	-1	-2.6944211496927E-5
14.92	0	0
14.94	0	0
14.96	3	8.08326344907809E-5
14.98	-6	-1.61665268981562E-4
15	7	1.88609480478489E-4
15.02	5	1.34721057484635E-4
15.04	2	5.38884229938539E-5
15.06	3	8.08326344907809E-5
15.08	19	5.11940018441612E-4
15.1	6	1.61665268981562E-4
15.12	11	2.96386326466197E-4
15.14	-1	-2.6944211496927E-5
15.16	-1	-2.6944211496927E-5
15.18	4	1.07776845987708E-4
15.2	-2	-5.38884229938539E-5
15.22	-7	-1.88609480478489E-4
15.24	12	3.23330537963124E-4
15.26	9	2.42497903472343E-4
15.28	11	2.96386326466197E-4
15.3	11	2.96386326466197E-4
15.32	14	3.77218960956977E-4
15.34	9	2.42497903472343E-4
15.36	1	2.6944211496927E-5
15.38	-9	-2.42497903472343E-4
15.4	-1	-2.6944211496927E-5
15.42	7	1.88609480478489E-4
15.44	1	2.6944211496927E-5
15.46	1	2.6944211496927E-5
15.48	-2	-5.38884229938539E-5
15.5	1	2.6944211496927E-5
15.52	-4	-1.07776845987708E-4
15.54	2	5.38884229938539E-5
15.56	4	1.07776845987708E-4
15.58	19	5.11940018441612E-4
15.6	8	2.15553691975416E-4
15.62	-2	-5.38884229938539E-5
15.64	5	1.34721057484635E-4
15.66	5	1.34721057484635E-4
15.68	6	1.61665268981562E-4
15.7	22	5.92772652932393E-4
15.72	10	2.6944211496927E-4
15.74	10	2.6944211496927E-4
15.76	33	8.8915897939859E-4
15.78	19	5.11940018441612E-4
15.8	14	3.77218960956977E-4
15.82	4	1.07776845987708E-4
15.84	2	5.38884229938539E-5
15.86	11	2.96386326466197E-4
15.88	6	1.61665268981562E-4
15.9	4	1.07776845987708E-4
15.92	2	5.38884229938539E-5
15.94	15	4.04163172453904E-4
15.96	9	2.42497903472343E-4
15.98	5	1.34721057484635E-4
16	-2	-5.38884229938539E-5
16.02	7	1.88609480478489E-4
16.04	11	2.96386326466197E-4
16.06	8	2.15553691975416E-4
16.08	12	3.23330537963124E-4
16.1	13	3.5027474946005E-4
16.12	13	3.5027474946005E-4
