Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
12.96	5	2.64452831072869E-5
12.98	8	4.23124529716591E-5
13	-16	-8.46249059433182E-5
13.02	3	1.58671698643722E-5
13.04	20	1.05781132429148E-4
13.06	9	4.76015095931165E-5
13.08	-10	-5.28905662145739E-5
13.1	-8	-4.23124529716591E-5
13.12	2	1.05781132429148E-5
13.14	18	9.5203019186233E-5
13.16	-10	-5.28905662145739E-5
13.18	-15	-7.93358493218608E-5
13.2	-12	-6.34686794574887E-5
13.22	-20	-1.05781132429148E-4
13.24	-7	-3.70233963502017E-5
13.26	15	7.93358493218608E-5
13.28	0	0
13.3	11	5.81796228360313E-5
13.32	-12	-6.34686794574887E-5
13.34	5	2.64452831072869E-5
13.36	-2	-1.05781132429148E-5
13.38	18	9.5203019186233E-5
13.4	15	7.93358493218608E-5
13.42	-2	-1.05781132429148E-5
13.44	14	7.40467927004034E-5
13.46	0	0
13.48	-20	-1.05781132429148E-4
13.5	-4	-2.11562264858296E-5
13.52	-11	-5.81796228360313E-5
13.54	-1	-5.28905662145739E-6
13.56	5	2.64452831072869E-5
13.58	-25	-1.32226415536435E-4
13.6	-37	-1.95695094993923E-4
13.62	-4	-2.11562264858296E-5
13.64	30	1.58671698643722E-4
13.66	3	1.58671698643722E-5
13.68	-10	-5.28905662145739E-5
13.7	0	0
13.72	-20	-1.05781132429148E-4
13.74	-23	-1.2164830229352E-4
13.76	-17	-8.99139625647756E-5
13.78	-16	-8.46249059433182E-5
13.8	10	5.28905662145739E-5
13.82	5	2.64452831072869E-5
13.84	9	4.76015095931165E-5
13.86	-8	-4.23124529716591E-5
13.88	21	1.11070189050605E-4
13.9	30	1.58671698643722E-4
13.92	10	5.28905662145739E-5
13.94	18	9.5203019186233E-5
13.96	26	1.37515472157892E-4
13.98	3	1.58671698643722E-5
14	-13	-6.8757736078946E-5
14.02	-11	-5.81796228360313E-5
14.04	4	2.11562264858296E-5
14.06	-23	-1.2164830229352E-4
14.08	9	4.76015095931165E-5
14.1	19	1.0049207580769E-4
14.12	9	4.76015095931165E-5
14.14	-7	-3.70233963502017E-5
14.16	-37	-1.95695094993923E-4
14.18	-5	-2.64452831072869E-5
14.2	-3	-1.58671698643722E-5
14.22	-44	-2.32718491344125E-4
14.24	0	0
14.26	-11	-5.81796228360313E-5
14.28	9	4.76015095931165E-5
14.3	4	2.11562264858296E-5
14.32	20	1.05781132429148E-4
14.34	23	1.2164830229352E-4
14.36	11	5.81796228360313E-5
14.38	16	8.46249059433182E-5
14.4	-5	-2.64452831072869E-5
14.42	-4	-2.11562264858296E-5
14.44	4	2.11562264858296E-5
14.46	3	1.58671698643722E-5
14.48	-12	-6.34686794574887E-5
14.5	-36	-1.90406038372466E-4
14.52	-3	-1.58671698643722E-5
14.54	-15	-7.93358493218608E-5
14.56	9	4.76015095931165E-5
14.58	13	6.8757736078946E-5
14.6	54	2.85609057558699E-4
14.62	25	1.32226415536435E-4
14.64	3	1.58671698643722E-5
14.66	5	2.64452831072869E-5
14.68	7	3.70233963502017E-5
14.7	1	5.28905662145739E-6
14.72	-26	-1.37515472157892E-4
14.74	-26	-1.37515472157892E-4
14.76	-29	-1.53382642022264E-4
14.78	-13	-6.8757736078946E-5
14.8	-37	-1.95695094993923E-4
14.82	-2	-1.05781132429148E-5
14.84	16	8.46249059433182E-5
14.86	3	1.58671698643722E-5
14.88	5	2.64452831072869E-5
14.9	14	7.40467927004034E-5
14.92	7	3.70233963502017E-5
14.94	-24	-1.26937358914977E-4
14.96	-18	-9.5203019186233E-5
14.98	-19	-1.0049207580769E-4
15	7	3.70233963502017E-5
15.02	-2	-1.05781132429148E-5
15.04	-10	-5.28905662145739E-5
15.06	21	1.11070189050605E-4
15.08	-3	-1.58671698643722E-5
15.1	-4	-2.11562264858296E-5
15.12	0	0
15.14	-7	-3.70233963502017E-5
15.16	-1	-5.28905662145739E-6
15.18	-18	-9.5203019186233E-5
15.2	-20	-1.05781132429148E-4
15.22	-5	-2.64452831072869E-5
15.24	2	1.05781132429148E-5
15.26	6	3.17343397287443E-5
15.28	7	3.70233963502017E-5
15.3	-9	-4.76015095931165E-5
15.32	-22	-1.16359245672063E-4
15.34	-11	-5.81796228360313E-5
15.36	1	5.28905662145739E-6
15.38	0	0
15.4	-1	-5.28905662145739E-6
15.42	-6	-3.17343397287443E-5
15.44	-28	-1.48093585400807E-4
15.46	15	7.93358493218608E-5
15.48	2	1.05781132429148E-5
15.5	-4	-2.11562264858296E-5
15.52	0	0
15.54	-9	-4.76015095931165E-5
15.56	-9	-4.76015095931165E-5
15.58	-18	-9.5203019186233E-5
15.6	-13	-6.8757736078946E-5
15.62	-10	-5.28905662145739E-5
15.64	-1	-5.28905662145739E-6
15.66	10	5.28905662145739E-5
15.68	-6	-3.17343397287443E-5
15.7	5	2.64452831072869E-5
15.72	3	1.58671698643722E-5
15.74	-11	-5.81796228360313E-5
15.76	-21	-1.11070189050605E-4
15.78	-7	-3.70233963502017E-5
15.8	8	4.23124529716591E-5
15.82	-11	-5.81796228360313E-5
15.84	-1	-5.28905662145739E-6
15.86	3	1.58671698643722E-5
15.88	11	5.81796228360313E-5
15.9	0	0
15.92	-18	-9.5203019186233E-5
15.94	1	5.28905662145739E-6
15.96	0	0
15.98	-1	-5.28905662145739E-6
16	-10	-5.28905662145739E-5
16.02	-10	-5.28905662145739E-5
16.04	-6	-3.17343397287443E-5
16.06	0	0
16.08	-16	-8.46249059433182E-5
16.1	-1	-5.28905662145739E-6
16.12	11	5.81796228360313E-5
16.14	4	2.11562264858296E-5
16.16	6	3.17343397287443E-5
16.18	-18	-9.5203019186233E-5
16.2	16	8.46249059433182E-5
16.22	15	7.93358493218608E-5
16.24	-6	-3.17343397287443E-5
16.26	-3	-1.58671698643722E-5
16.28	8	4.23124529716591E-5
16.3	-4	-2.11562264858296E-5
16.32	-5	-2.64452831072869E-5
16.34	-5	-2.64452831072869E-5
16.36	9	4.76015095931165E-5
16.38	8	4.23124529716591E-5
16.4	0	0
16.42	2	1.05781132429148E-5
16.44	15	7.93358493218608E-5
