Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
14.42	18	2.90348898768937E-4
14.44	16	2.58087910016833E-4
14.46	13	2.09696426888677E-4
14.48	35	5.64567303161822E-4
14.5	16	2.58087910016833E-4
14.52	6	9.67829662563124E-5
14.54	14	2.25826921264729E-4
14.56	11	1.77435438136573E-4
14.58	28	4.51653842529458E-4
14.6	23	3.71001370649198E-4
14.62	26	4.19392853777354E-4
14.64	15	2.41957415640781E-4
14.66	8	1.29043955008417E-4
14.68	21	3.38740381897093E-4
14.7	30	4.83914831281562E-4
14.72	26	4.19392853777354E-4
14.74	5	8.06524718802603E-5
14.76	23	3.71001370649198E-4
14.78	23	3.71001370649198E-4
14.8	-5	-8.06524718802603E-5
14.82	-6	-9.67829662563124E-5
14.84	8	1.29043955008417E-4
14.86	17	2.74218404392885E-4
14.88	27	4.35523348153406E-4
14.9	18	2.90348898768937E-4
14.92	27	4.35523348153406E-4
14.94	17	2.74218404392885E-4
14.96	26	4.19392853777354E-4
14.98	16	2.58087910016833E-4
15	-4	-6.45219775042083E-5
15.02	4	6.45219775042083E-5
15.04	9	1.45174449384469E-4
15.06	1	1.61304943760521E-5
15.08	24	3.8713186502525E-4
15.1	14	2.25826921264729E-4
15.12	-7	-1.12913460632364E-4
15.14	22	3.54870876273145E-4
15.16	23	3.71001370649198E-4
15.18	36	5.80697797537875E-4
15.2	22	3.54870876273145E-4
15.22	9	1.45174449384469E-4
15.24	12	1.93565932512625E-4
15.26	5	8.06524718802603E-5
15.28	5	8.06524718802603E-5
15.3	14	2.25826921264729E-4
15.32	25	4.03262359401302E-4
15.34	20	3.22609887521041E-4
15.36	11	1.77435438136573E-4
15.38	10	1.61304943760521E-4
15.4	-3	-4.83914831281562E-5
15.42	-5	-8.06524718802603E-5
15.44	10	1.61304943760521E-4
15.46	11	1.77435438136573E-4
15.48	23	3.71001370649198E-4
15.5	12	1.93565932512625E-4
15.52	-4	-6.45219775042083E-5
15.54	3	4.83914831281562E-5
15.56	-9	-1.45174449384469E-4
15.58	2	3.22609887521041E-5
15.6	1	1.61304943760521E-5
15.62	4	6.45219775042083E-5
15.64	6	9.67829662563124E-5
15.66	23	3.71001370649198E-4
15.68	24	3.8713186502525E-4
15.7	29	4.6778433690551E-4
15.72	13	2.09696426888677E-4
15.74	16	2.58087910016833E-4
15.76	-1	-1.61304943760521E-5
15.78	19	3.06479393144989E-4
15.8	0	0
15.82	-6	-9.67829662563124E-5
15.84	1	1.61304943760521E-5
15.86	8	1.29043955008417E-4
15.88	2	3.22609887521041E-5
15.9	23	3.71001370649198E-4
15.92	23	3.71001370649198E-4
15.94	33	5.32306314409718E-4
15.96	19	3.06479393144989E-4
15.98	6	9.67829662563124E-5
16	14	2.25826921264729E-4
16.02	11	1.77435438136573E-4
16.04	24	3.8713186502525E-4
16.06	21	3.38740381897093E-4
16.08	3	4.83914831281562E-5
16.1	4	6.45219775042083E-5
16.12	-5	-8.06524718802603E-5
16.14	20	3.22609887521041E-4
16.16	34	5.4843680878577E-4
16.18	11	1.77435438136573E-4
16.2	4	6.45219775042083E-5
16.22	11	1.77435438136573E-4
16.24	-1	-1.61304943760521E-5
16.26	19	3.06479393144989E-4
16.28	5	8.06524718802603E-5
16.3	5	8.06524718802603E-5
16.32	25	4.03262359401302E-4
16.34	37	5.96828291913927E-4
16.36	13	2.09696426888677E-4
16.38	13	2.09696426888677E-4
16.4	26	4.19392853777354E-4
16.42	11	1.77435438136573E-4
16.44	16	2.58087910016833E-4
16.46	9	1.45174449384469E-4
16.48	-2	-3.22609887521041E-5
16.5	17	2.74218404392885E-4
16.52	9	1.45174449384469E-4
16.54	12	1.93565932512625E-4
16.56	25	4.03262359401302E-4
16.58	30	4.83914831281562E-4
16.6	16	2.58087910016833E-4
16.62	25	4.03262359401302E-4
16.64	19	3.06479393144989E-4
16.66	11	1.77435438136573E-4
16.68	-6	-9.67829662563124E-5
16.7	-2	-3.22609887521041E-5
16.72	2	3.22609887521041E-5
16.74	17	2.74218404392885E-4
16.76	13	2.09696426888677E-4
16.78	26	4.19392853777354E-4
16.8	21	3.38740381897093E-4
16.82	8	1.29043955008417E-4
16.84	8	1.29043955008417E-4
16.86	4	6.45219775042083E-5
16.88	11	1.77435438136573E-4
16.9	16	2.58087910016833E-4
16.92	21	3.38740381897093E-4
16.94	23	3.71001370649198E-4
16.96	0	0
16.98	21	3.38740381897093E-4
17	20	3.22609887521041E-4
17.02	18	2.90348898768937E-4
17.04	2	3.22609887521041E-5
17.06	6	9.67829662563124E-5
17.08	18	2.90348898768937E-4
17.1	22	3.54870876273145E-4
17.12	10	1.61304943760521E-4
17.14	30	4.83914831281562E-4
17.16	28	4.51653842529458E-4
17.18	9	1.45174449384469E-4
17.2	20	3.22609887521041E-4
17.22	27	4.35523348153406E-4
17.24	17	2.74218404392885E-4
17.26	20	3.22609887521041E-4
17.28	3	4.83914831281562E-5
17.3	1	1.61304943760521E-5
17.32	26	4.19392853777354E-4
