Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
15.22	0	0
15.24	3	2.57605023887447E-4
15.26	9	7.72815071662341E-4
15.28	2	1.71736682591631E-4
15.3	1	8.58683412958157E-5
15.32	9	7.72815071662341E-4
15.34	5	4.29341706479079E-4
15.36	4	3.43473365183263E-4
15.38	1	8.58683412958157E-5
15.4	3	2.57605023887447E-4
15.42	0	0
15.44	2	1.71736682591631E-4
15.46	5	4.29341706479079E-4
15.48	2	1.71736682591631E-4
15.5	7	6.0107838907071E-4
15.52	0	0
15.54	-3	-2.57605023887447E-4
15.56	1	8.58683412958157E-5
15.58	1	8.58683412958157E-5
15.6	2	1.71736682591631E-4
15.62	7	6.0107838907071E-4
15.64	3	2.57605023887447E-4
15.66	8	6.86946730366526E-4
15.68	1	8.58683412958157E-5
15.7	-3	-2.57605023887447E-4
15.72	1	8.58683412958157E-5
15.74	-1	-8.58683412958157E-5
15.76	-5	-4.29341706479079E-4
15.78	-4	-3.43473365183263E-4
15.8	-1	-8.58683412958157E-5
15.82	3	2.57605023887447E-4
15.84	5	4.29341706479079E-4
15.86	2	1.71736682591631E-4
15.88	1	8.58683412958157E-5
15.9	3	2.57605023887447E-4
15.92	-1	-8.58683412958157E-5
15.94	4	3.43473365183263E-4
15.96	6	5.15210047774894E-4
15.98	4	3.43473365183263E-4
16	-1	-8.58683412958157E-5
16.02	-2	-1.71736682591631E-4
16.04	2	1.71736682591631E-4
16.06	5	4.29341706479079E-4
16.08	3	2.57605023887447E-4
16.1	6	5.15210047774894E-4
16.12	0	0
16.14	4	3.43473365183263E-4
16.16	-4	-3.43473365183263E-4
16.18	-3	-2.57605023887447E-4
16.2	-2	-1.71736682591631E-4
16.22	0	0
16.24	3	2.57605023887447E-4
16.26	1	8.58683412958157E-5
16.28	5	4.29341706479079E-4
16.3	3	2.57605023887447E-4
16.32	6	5.15210047774894E-4
16.34	0	0
16.36	4	3.43473365183263E-4
16.38	2	1.71736682591631E-4
16.4	4	3.43473365183263E-4
16.42	2	1.71736682591631E-4
16.44	3	2.57605023887447E-4
16.46	5	4.29341706479079E-4
16.48	3	2.57605023887447E-4
16.5	2	1.71736682591631E-4
16.52	6	5.15210047774894E-4
16.54	2	1.71736682591631E-4
16.56	1	8.58683412958157E-5
16.58	5	4.29341706479079E-4
16.6	5	4.29341706479079E-4
16.62	9	7.72815071662341E-4
16.64	8	6.86946730366526E-4
16.66	4	3.43473365183263E-4
16.68	5	4.29341706479079E-4
16.7	4	3.43473365183263E-4
16.72	4	3.43473365183263E-4
16.74	0	0
16.76	-2	-1.71736682591631E-4
16.78	2	1.71736682591631E-4
16.8	9	7.72815071662341E-4
16.82	7	6.0107838907071E-4
16.84	5	4.29341706479079E-4
16.86	23	0.00197497184980376
16.88	9	7.72815071662341E-4
16.9	5	4.29341706479079E-4
16.92	2	1.71736682591631E-4
16.94	0	0
16.96	-1	-8.58683412958157E-5
16.98	-3	-2.57605023887447E-4
17	1	8.58683412958157E-5
17.02	11	9.44551754253973E-4
17.04	4	3.43473365183263E-4
17.06	2	1.71736682591631E-4
17.08	9	7.72815071662341E-4
17.1	9	7.72815071662341E-4
17.12	9	7.72815071662341E-4
17.14	6	5.15210047774894E-4
17.16	2	1.71736682591631E-4
17.18	1	8.58683412958157E-5
17.2	0	0
17.22	-3	-2.57605023887447E-4
17.24	1	8.58683412958157E-5
17.26	3	2.57605023887447E-4
17.28	-3	-2.57605023887447E-4
17.3	-1	-8.58683412958157E-5
17.32	0	0
17.34	-1	-8.58683412958157E-5
17.36	3	2.57605023887447E-4
17.38	-2	-1.71736682591631E-4
17.4	-5	-4.29341706479079E-4
17.42	1	8.58683412958157E-5
17.44	2	1.71736682591631E-4
17.46	1	8.58683412958157E-5
17.48	3	2.57605023887447E-4
17.5	2	1.71736682591631E-4
17.52	0	0
17.54	3	2.57605023887447E-4
17.56	8	6.86946730366526E-4
17.58	6	5.15210047774894E-4
17.6	3	2.57605023887447E-4
17.62	2	1.71736682591631E-4
